user_id,user_journey
1516,Homepage-Log in-Other Other-Sign up-Sign up-Log in-Log in Log in-Log in Homepage-Log in-Log in Log in-Log in Checkout Checkout Checkout Checkout Coupon Checkout Checkout Checkout
3395,Other Pricing-Sign up-Sign up-Log in Homepage Pricing Pricing Checkout Checkout
10107,Homepage Homepage-Homepage-Homepage-Homepage-Homepage-Career tracks-Homepage-Homepage-Career tracks-Career tracks-Sign up-Log in Homepage-Resources center-Resources center-Other Homepage-Career tracks-Career tracks Career tracks-Courses-Career tracks-Career tracks-Courses-Career tracks-Career tracks Career tracks-Log in-Log in Homepage-Log in-Log in Checkout Checkout Log in-Log in Checkout Log in-Log in Log in-Log in Checkout Checkout Checkout
11145,Homepage-Log in Homepage-Log in-Log in Homepage-Log in Homepage-Log in-Log in Homepage-Log in-Log in Log in-Log in Homepage-Log in-Log in Homepage-Log in-Log in Homepage-Log in-Log in Homepage-Log in-Log in Checkout
12400,Homepage-Career tracks-Career tracks-Sign up-Sign up-Log in Other-Career track certificate-Career track certificate-Resources center-Resources center Homepage-Instructors-Instructors-Homepage-Homepage-Log in-Log in Checkout
13082,Checkout Checkout Checkout Homepage-Sign up-Sign up-Log in Checkout
14415,Pricing-Sign up-Pricing-Sign up-Sign up Homepage-Log in Log in-Log in Checkout Checkout
15630,Log in Log in-Log in Log in-Log in Log in-Log in Log in-Log in Checkout Checkout Checkout Checkout Checkout Checkout Checkout Checkout Pricing Checkout Other Homepage-Log in-Log in Checkout Coupon Homepage-Log in-Log in Checkout Checkout
16589,Homepage-Career tracks-Career tracks-Homepage-Homepage-Homepage-Homepage-Homepage-Homepage-Homepage-Homepage-Homepage-Homepage-Homepage-Career tracks-Career tracks-Homepage-Homepage-Homepage-Career tracks-Homepage-Career tracks-Homepage-Homepage-Homepage-Pricing-Pricing-Pricing-Pricing-Pricing-Pricing-Pricing-Pricing-Sign up-Sign up Homepage-Sign up-Sign up Checkout
19458,Homepage-Sign up Log in Log in-Log in Log in-Log in Other Homepage Pricing Homepage-Career track certificate-Career track certificate-Career track certificate-Career track certificate-Career track certificate-Career track certificate-Career track certificate-Career track certificate-Career track certificate-Career track certificate-Career track certificate-Career track certificate-Career track certificate Career tracks-Career track certificate-Career track certificate-Career track certificate-Career track certificate-Career tracks-Career track certificate-Career tracks-Career tracks-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses Coupon
